SAMPN,PERNO,origin,destination
1033944,1,65358739,2304626340
1035274,2,65640129,295121038
1041304,1,65432018,65500241
1041494,4,57790701,57889082
1041766,1,65379557,65368988
1041766,2,65379557,256998750
1043613,1,53090692,53060716
1043613,2,53090692,3219753122
1044414,1,2581890985,2567291436
1045607,1,2551936826,65317595
1045672,1,348042253,2389189072
1045672,2,348042253,5243955958
1045672,3,348042253,347127125
1047092,2,53118749,3685177534
1048852,1,57815980,53055202
1049908,1,65334137,1723738893
1050385,2,2089641167,522277389
1050821,1,1212610895,53086921
1051203,1,295811049,65418216
1051388,2,65298353,65303529
1051795,1,65316662,65352454
1052905,1,65633845,65511483
1055449,2,56026638,56113459
1059184,1,53039830,577629966
1059184,2,53039830,53149856
1059276,1,345571129,110402355
1060749,1,65518203,4944392361
1064494,1,65619063,65544562
1064494,2,65619063,4590428449
1064644,1,65423938,65295355
1064644,2,65423938,1087030010
1065239,3,1684055465,275761239
1065904,2,110395313,65303525
1065929,1,53085382,2389134462
1065929,2,53085382,62503322
1066541,1,257360278,3969135920
1066541,2,257360278,5243955958
1067722,2,4679401574,57818408
1067977,2,62436682,62247683
1069723,1,259138846,65329980
1087526,1,65318663,1723739123
1088146,1,57898277,53103348
1088852,1,1793901645,348063634
1088852,2,1793901645,348709059
1089378,1,4182144711,3722344586
1093539,1,295506085,65286515
1093539,2,295506085,65338206
1094328,2,65481441,887728832
1095358,1,200798646,239496878
1095531,1,318299418,65657840
1095531,2,318299418,65303525
1096422,1,56030604,56006369
1096422,2,56030604,55960841
1096693,1,65402783,614141010
1098726,2,65492882,189787084
1119016,1,5362464139,65550325
1119016,2,5362464139,65550325
1119035,1,55968714,55960389
1119137,1,65358626,65447114
1119181,2,56102919,56150126
1119577,1,295083366,65306800
1119607,1,65371828,65352339
1120071,1,2487368780,65402783
1120220,2,1563110139,65295275
1120364,1,314136099,664043052
1120441,2,65451054,65430953
1120451,1,5362464139,256568778
1120451,2,5362464139,275515667
1120491,1,484173364,65401373
1120697,1,65458872,1071749777
1120697,2,65458872,305549799
1120849,1,2858913700,65484159
1120849,2,2858913700,26374407
1121291,1,62442222,4303632052
1121448,2,62450482,470163529
1121608,1,65527944,369879535
1121694,1,1401973679,2749906549
1121752,2,65432685,2886229159
1121851,2,65518164,790843397
1121901,2,53056335,53055193
1122037,2,5376873543,3652090816
1122229,1,312445551,2460760149
1122248,1,65295328,262078981
1123025,1,365486290,65545447
1123025,2,365486290,65559188
1123124,1,57839254,65281916
1123124,2,57839254,3117933958
1123587,2,331742469,431954135
1123731,3,65399936,301503411
1123906,1,56027453,55986651
1124168,1,56023140,55950125
1124271,2,338171691,1723738893
1124293,1,65543240,65395289
1124293,2,65543240,65504899
1124474,1,56091236,56115045
1124474,2,56091236,56115045
1124585,1,65429940,65388468
1124647,1,65623175,65523574
1124769,1,57796174,57819388
1124769,2,57796174,660032381
1125257,2,65436551,259407331
1125309,1,256181426,1273240800
1125309,2,256181426,65369932
1125362,1,56102929,56102891
1125399,1,5050045516,65388493
1125450,1,65551811,287825433
1125492,1,3705431561,1708913892
1125492,2,3705431561,65644155
1125585,1,65446028,5024671872
1125585,2,65446028,4549966665
1126014,1,62272062,62325755
1126100,1,4019294259,2282623329
1126125,1,243829769,29381137
1126853,1,297165027,517807889
1127004,1,65400186,65628969
1127004,2,65400186,65434978
1127225,1,56020458,56024415
1127225,2,56020458,2583215585
1127272,1,282390548,519663870
1127449,1,56116927,55950053
1127449,2,56116927,55950049
1127481,2,53142806,365486290
1127492,1,65475170,1657073180
1127626,2,413800437,65317042
1127931,1,612767847,65307363
1128182,1,65656080,65537490
1128323,1,3977020959,65427884
1128323,2,3977020959,1083003543
1128323,3,3977020959,595774096
1128531,1,614140923,65303529
1128740,2,65631083,65545447
1128764,1,259138838,65317795
1128764,2,259138838,65317795
1129102,4,1378125448,262078986
1129273,1,56027453,56018786
1129273,2,56027453,56018786
1129417,1,65544912,1107072456
1129482,1,56042046,55986651
1129578,1,65282949,65327144
1129697,2,65452105,3870839619
1129722,1,2267887635,704784837
1129862,2,4168270175,4890201468
1129862,3,4168270175,288091633
1129862,4,4168270175,65562385
1130038,1,295083366,259458491
1130076,1,1080268604,56072645
1130076,2,1080268604,56023252
1130155,1,57898277,57927367
1130487,1,65496794,65350752
1130487,2,65496794,65448790
1130726,1,383983988,57885243
1130807,1,65447952,65493342
1131021,3,2324267644,3222628280
1131130,1,65471572,1723739123
1131130,2,65471572,65357038
1131240,1,65388934,65409276
1131268,1,53087601,240817739
1131308,2,4177079291,2328487015
1131349,3,4357170828,65295289
1131385,1,65403123,65352485
1131396,1,636067133,53055899
1131654,1,56056248,56023252
1132059,1,430104628,3219700404
1132059,2,430104628,419014561
1132139,2,65289787,3685177534
1132210,1,3470639020,56087174
1132210,2,3470639020,2389032914
1132372,1,65633317,580402855
1132372,2,65633317,65656049
1132467,1,1157512953,4070650114
1132468,1,56035848,56073883
1132468,2,56035848,56033704
1132890,1,56155755,297652670
1132890,2,56155755,56102891
1133013,1,3292802505,56150152
1133036,1,65357702,4022970383
1133036,2,65357702,258286458
1133314,1,262239989,667714609
1133315,1,4167747523,277823226
1133315,2,4167747523,65543331
1133591,1,65670521,300759006
1133591,2,65670521,383988673
1133744,1,62447440,4588500422
1134076,2,258910930,4017324918
1134135,1,65428899,65440483
1134135,2,65428899,285749925
1134174,1,2466988795,65465962
1134742,1,65520810,1071749777
1134742,2,65520810,65422399
1134956,1,56101434,56101434
1134956,2,56101434,56101434
1135146,3,5312887518,257059495
1135438,2,65596341,305549799
1135563,1,541332292,65559212
1135684,1,56033286,56150152
1135836,1,4353687912,664251132
1135876,1,55962267,3196064991
1135920,1,53108200,93412379
1135925,1,62306893,62441059
1135925,2,62306893,52978548
1136069,2,286082304,258910930
1136363,2,56108769,345571596
1136617,1,62344691,110413943
1136853,1,65288277,4071045528
1136853,2,65288277,4071045528
1137073,2,56023252,56028602
1137219,1,413802373,65305814
1137373,2,2838230202,667522227
1137871,1,65459857,275763327
1137871,2,65459857,152347320
1137895,1,65391592,30677894
1137895,2,65391592,65442632
1137895,3,65391592,65434178
1138323,1,62420562,62386631
1138323,2,62420562,62245820
1138464,1,62501674,1261541192
1138725,1,56030165,110362285
1138790,1,65518142,4915148159
1138825,1,4375129170,54891483
1138825,2,4375129170,4928742212
1138881,1,65485956,65326702
1139063,3,56021315,56099389
1139153,2,62525576,62385933
1139507,2,65451991,65291433
1139514,1,65337421,65303719
1139845,1,62309296,1685260148
1139845,2,62309296,62204037
1140059,1,62427891,62460843
1140059,2,62427891,62460843
1140059,3,62427891,62460843
1140059,4,62427891,62460843
1140059,5,62427891,62460843
1140321,2,2868546186,110436124
1140514,1,65322168,65295355
1140514,2,65322168,65314202
1140624,1,65473486,65350747
1140624,2,65473486,65513591
1140657,1,2322611774,2480394582
1140657,3,2322611774,65395289
1141305,1,4008988541,1723738893
1141570,1,4022970383,415194042
1141798,1,55952094,4619663121
1141856,1,65441395,65466451
1141857,1,65488329,522276506
1141857,2,65488329,400502785
1141904,1,56119445,354852517
1142183,1,5362356816,1723738831
1142789,1,314148496,1067402249
1142874,1,472347413,4303632064
1142874,2,472347413,62382161
1143181,1,35855156,209854346
1143194,1,55946253,55958530
1143194,2,55946253,55970572
1143219,1,56102132,56024738
1143233,1,1211585283,615115440
1143233,2,1211585283,258467576
1143255,1,312432798,53116963
1143505,1,4019577207,110410238
1143505,2,4019577207,110410238
1143740,1,65287332,65317532
1144036,1,3221208019,355702178
1144036,2,3221208019,298637550
1144174,1,62402595,522276506
1144231,1,65431690,2299911481
1144231,2,65431690,33372160
1144667,1,65310823,1201384590
1144667,2,65310823,3810293247
1144765,2,65433860,4167687892
1144889,1,4932181532,56129486
1144932,2,55959000,351117431
1145194,1,53045509,4911620878
1145194,2,53045509,65317957
1145199,1,258468617,65295289
1145239,1,62388215,62270963
1145353,1,65492882,667229004
1145577,1,56023169,56069721
1145588,1,878766560,4911065157
1145956,1,65441384,65469491
1146311,1,56027466,55969402
1146944,1,289662376,65419222
1147026,2,2749862434,365486290
1147026,3,2749862434,1624737795
1147026,7,2749862434,1624737795
1147147,1,62493273,62510659
1147147,2,62493273,62283264
1147205,1,65319961,65343958
1147295,2,5278666055,65447910
1147540,1,56045713,55959648
1147622,1,65365830,260494512
1147675,3,62458381,62197960
1147762,2,65392827,2460760149
1148075,1,258911619,432780750
1148430,1,110446074,110384132
1148505,4,56064771,55950091
1148828,1,306534189,1106542164
1148828,2,306534189,3523003965
1148899,1,62468235,53146091
1148911,1,56071418,345569812
1148949,1,65394503,1050206559
1149029,1,65660419,65436603
1149029,2,65660419,3678132213
1149029,3,65660419,2057287663
1149157,1,53043600,53146091
1149354,2,56116695,56042073
1149467,1,56047142,55961151
1149777,1,56037148,4499960686
1149981,1,62283749,505992294
1149981,2,62283749,62384807
1150039,2,4600803946,3696019364
1150090,2,351121725,56053514
1150189,1,65520604,65325369
1150210,2,258756003,65308413
1150277,1,65412517,559389789
1150381,2,55962593,55960585
1150476,1,53016680,65303500
1150476,2,53016680,257882618
1150549,1,65441278,26374407
